timestamp,source,focus,visible_hits,raw_theme_hits,raw_gkg_themes,normalized_themes,headline,url
"Apr 23, 2026, 03:15 PM UTC","benzinga.com","Public Offerings","IPO","","ECON_IPO, TAX_ECON_PRICE, TAX_FNCACT, TAX_FNCACT_UNDERWRITER, ECON_STOCKMARKET, WB_698_TRADE, TAX_FNCACT_TRADERS, UNGP_FORESTS_RIVERS_OCEANS","TRADE","Aevex Stock Is Surging Thursday Post IPO Momentum Explained","https://www.benzinga.com/trading-ideas/movers/26/04/52002938/aevex-stock-is-surging-thursday-post-ipo-momentum-explained"
"Apr 23, 2026, 03:15 PM UTC","dailygazette.com","M&A / Strategic Transactions","SPAC","","GENERAL_HEALTH, MEDICAL, WB_1305_HEALTH_SERVICES_DELIVERY, WB_621_HEALTH_NUTRITION_AND_POPULATION, TAX_WEAPONS, TAX_WEAPONS_GUNS, TAX_ECON_PRICE, USPEC_POLICY1","REGULATION","Spac Concerts Live Nation","https://www.dailygazette.com/ade/life_and_arts/spac-concerts-live-nation/article_6b6170d6-cbd5-4f76-b2cb-8f5b0a8f6325.html"
"Apr 23, 2026, 03:15 PM UTC","ypradio.org","M&A / Strategic Transactions","merger","","TAX_FNCACT, TAX_FNCACT_REGULATORS, WB_678_DIGITAL_GOVERNMENT, WB_694_BROADCAST_AND_MEDIA, WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES, TAX_FNCACT_EXECUTIVES, TAX_FNCACT_CEO, TAX_FNCACT_PRODUCER","LABOR_MARKET, REGULATION","Warner Bros Discovery Shareholders Approve 110b Merger With Paramount Skydance","https://www.ypradio.org/npr-news/2026-04-23/warner-bros-discovery-shareholders-approve-110b-merger-with-paramount-skydance"
"Apr 23, 2026, 03:15 PM UTC","marketscreener.com","M&A / Strategic Transactions","merger","","TAX_FNCACT, TAX_FNCACT_EXECUTIVE, WB_696_PUBLIC_SECTOR_MANAGEMENT, WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES, WB_723_PUBLIC_ADMINISTRATION, WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR, TAX_FNCACT_EXECUTIVES, TAX_FNCACT_CEO","LABOR_MARKET, REGULATION","Warner Bros Shareholders Back Billion Merger With Paramount Skydance","https://www.marketscreener.com/news/warner-bros-shareholders-back-110-billion-merger-with-paramount-skydance-ce7f59ded88af625"
"Apr 23, 2026, 03:15 PM UTC","finanznachrichten.de","M&A / Strategic Transactions","merger","","EPU_CATS_REGULATION","REGULATION","Warner Bros Discovery Gets Stockholder Approval For Merger With Paramount Skydance","https://www.finanznachrichten.de/nachrichten-2026-04/68284823-warner-bros-discovery-gets-stockholder-approval-for-merger-with-paramount-skydance-020.htm"
"Apr 23, 2026, 03:15 PM UTC","bozemandailychronicle.com","M&A / Strategic Transactions","acquisition","","MANMADE_DISASTER_IMPLIED, WB_135_TRANSPORT, WB_1803_TRANSPORT_INFRASTRUCTURE, WB_166_RAILWAYS, TAX_FNCACT, TAX_FNCACT_REGULATORS, TAX_ECON_PRICE, TAX_FNCACT_ANALYSTS","COMMODITIES, LABOR_MARKET, TRADE, REGULATION","Union Pacific Profit Climbed 5 As It Builds The Case For Its Acquisition Of Rival","http://www.bozemandailychronicle.com/ap_news/business/union-pacific-profit-climbed-5-as-it-builds-the-case-for-its-acquisition-of-rival/article_87056f86-58d4-53d8-b8ef-5e4136c6ceac.html"
"Apr 23, 2026, 03:15 PM UTC","wsls.com","M&A / Strategic Transactions","acquisition","","WB_135_TRANSPORT, WB_1803_TRANSPORT_INFRASTRUCTURE, WB_166_RAILWAYS, TAX_FNCACT, TAX_FNCACT_REGULATORS, TAX_ECON_PRICE, TAX_FNCACT_ANALYSTS, TAX_FNCACT_CEO","COMMODITIES, LABOR_MARKET, TRADE, REGULATION","Union Pacific Profit Climbed 5 As It Builds The Case For Its Acquisition Of Rival Norfolk Southern","https://www.wsls.com/business/2026/04/23/union-pacific-profit-climbed-5-as-it-builds-the-case-for-its-acquisition-of-rival-norfolk-southern/"
"Apr 23, 2026, 03:15 PM UTC","bozemandailychronicle.com","M&A / Strategic Transactions","merger","","MEDIA_MSM","","Warner Bros Shareholders Approve Billion Sale To Paramount In A Mega Merger That Could","http://www.bozemandailychronicle.com/ap_news/business/warner-bros-shareholders-approve-81-billion-sale-to-paramount-in-a-mega-merger-that-could/article_87e2138e-3569-54b0-92d5-27d10032fa98.html"
"Apr 23, 2026, 02:45 PM UTC","insidermonkey.com","M&A / Strategic Transactions","acquisition","","ENV_METALS, WB_2936_GOLD, WB_507_ENERGY_AND_EXTRACTIVES, WB_895_MINING_SYSTEMS, WB_1699_METAL_ORE_MINING, ECON_STOCKMARKET, TAX_FNCACT, TAX_FNCACT_ANALYSTS","COMMODITIES","Eldorado Gold Ego Completes Acquisition Of Foran Mining Corporation","https://www.insidermonkey.com/blog/eldorado-gold-ego-completes-acquisition-of-foran-mining-corporation-1744912/"
"Apr 23, 2026, 02:45 PM UTC","insidermonkey.com","M&A / Strategic Transactions","acquisition","","ECON_STOCKMARKET, TAX_FNCACT, TAX_FNCACT_ANALYSTS, TAX_FNCACT_LEADER, CRISISLEX_C07_SAFETY, GENERAL_HEALTH, MEDICAL, CRISISLEX_C03_WELLBEING_HEALTH","","Servicenow Now Completes 7 75b Acquisition Of Cyber Exposure Leader Armis","https://www.insidermonkey.com/blog/servicenow-now-completes-7-75b-acquisition-of-cyber-exposure-leader-armis-1744914/"
"Apr 23, 2026, 02:45 PM UTC","marketscreener.com","M&A / Strategic Transactions","acquisition","","ENV_MINING, ECON_STOCKMARKET, UNGP_FORESTS_RIVERS_OCEANS","","Agnico Eagle Mines Limited Completed The Acquisition Of Stake In Fingold Ventures Ltd From B2go","https://www.marketscreener.com/news/agnico-eagle-mines-limited-completed-the-acquisition-of-70-stake-in-fingold-ventures-ltd-from-b2go-ce7f59ded980f222"
"Apr 23, 2026, 02:45 PM UTC","deadline.com","M&A / Strategic Transactions","merger","","LEADER, TAX_FNCACT, TAX_FNCACT_MAYOR, EPU_POLICY, EPU_POLICY_POLITICAL, USPEC_UNCERTAINTY1, WB_2670_JOBS, WB_1467_EDUCATION_FOR_ALL","LABOR_MARKET, REGULATION","Zohran Mamdani Paramount Warner Bros Merger","https://deadline.com/2026/04/zohran-mamdani-paramount-warner-bros-merger-1236869492/"
