category,kind,source,label,count_seen,last_published,days_since_published,last_stored_or_updated,days_since_stored_or_updated,schedule,latest_run_at,run_discovered,run_selected,run_saved_new,run_saved_updates,run_failed_count,run_skipped_blocked_count,latest_title,assessment
No newer eligible item / quiet source,document_source_kind,pcaob_update,PCAOB,20,2026-07-01T00:00:00Z,6.0,2026-07-04T02:29:25Z,2.9,Securities Market Sources Daily,2026-07-06T16:06:12Z,18,0,0,0,0,0,George Kostolampros Named PCAOB General Counsel,"Not a run failure: workflow ran and discovered 18 item(s), but all were already existing or outside selection; no newer eligible source item was found."
No newer eligible item / quiet source,document_source_kind,recorded_future_article,Recorded Future,50,2026-07-01T00:00:00Z,6.0,2026-07-05T17:19:08Z,1.3,Cyber Source Full Extraction (3 Hour),2026-07-06T22:40:18Z,50,0,0,0,0,0,Iran-Nexus TAG-182 Disseminates MarkiRAT Surveillance Tool,"Not a run failure: workflow ran and discovered 50 item(s), but all were already existing or outside selection; no newer eligible source item was found."
No newer eligible item / quiet source,document_source_kind,sec_press_release_rss,SEC,27,2026-07-01T00:00:00Z,6.0,2026-07-04T02:23:53Z,2.9,Securities Market Sources Daily,2026-07-06T16:02:39Z,25,0,0,0,0,0,"SEC Publishes Updated Market Statistics, Highlighting Increase in IPOs and Proceeds Raised","Not a run failure: workflow ran and discovered 25 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Other,document_source_kind,cisa_cybersecurity_advisory,CISA,32,2026-07-02T00:00:00Z,5.0,2026-07-04T22:28:11Z,2.0,Cyber Source Full Extraction (3 Hour),,,,,,,,CubeSpace CW0057 Reaction Wheel,No current artifact/mapping evidence found; needs direct workflow coverage check.
Date/metadata issue,document_source_kind,citywire_article,Citywire,113,2026-07-02T00:00:00Z,5.0,2026-07-04T02:42:29Z,2.9,Connector Gap Ingest (6 Hour),2026-07-06T20:06:44Z,75,1,1,0,0,0,Finra shortens wait periods to retake series exams,"Metadata/source-date issue: workflow saved 1 new and 0 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,congress_crs_product,Congressional Research Service,1303,2026-07-02T00:00:00Z,5.0,2026-07-04T02:32:41Z,2.9,CRS Reports Daily,,,,,,,,FY2026 Defense Budget: Funding for Selected Weapon Systems,"CRS workflow has succeeded daily, but latest run artifact was not inspected here; stale date likely no newer matching CRS product or metadata lag."
Date/metadata issue,document_source_kind,finra_awc,FINRA,869,2026-07-02T00:00:00Z,5.0,,,Policy Extraction (Scheduled),2026-07-06T23:14:44Z,75,1,1,0,0,0,Kim Thien Tran (2024084471901),"Metadata/source-date issue: workflow saved 1 new and 0 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
No newer eligible item / quiet source,document_source_kind,flashpoint_blog_article,Flashpoint,10,2026-07-02T00:00:00Z,5.0,2026-07-05T18:44:10Z,1.2,Cyber Source Full Extraction (3 Hour),2026-07-06T22:39:27Z,10,0,0,0,0,0,"Remus Stealer: A New, Not-So-New Infostealer","Not a run failure: workflow ran and discovered 10 item(s), but all were already existing or outside selection; no newer eligible source item was found."
Date/metadata issue,document_source_kind,krebs_on_security_article,Krebs on Security,10,2026-07-02T00:00:00Z,5.0,2026-07-04T23:39:43Z,2.0,Cyber Source Full Extraction (3 Hour),2026-07-06T22:35:58Z,10,1,0,1,0,0,"FBI Seizes NetNut Proxy Platform, Popa Botnet","Metadata/source-date issue: workflow saved 0 new and 1 updated document(s), but newest production published date is still old; likely old public items, generic/listing page extraction, or bad date parsing."
RSS-only/quiet feed,rss_feed_key_recent_1000,cisa_cybersecurity_advisories,CISA Cybersecurity Advisories,3,2026-07-02T12:00:00Z,4.5,2026-07-02T16:20:41Z,4.3,Vercel app RSS cron */10 * * * *,,,,,,,,ST Engineering iDirect iQ-Series Terminals,"Daily health reported RSS feed failures; CISA advisories are RSS/app-layer rows, not durable document ingestion."
RSS-only/quiet feed,rss_feed_key_recent_1000,finra_upc_advisories,FINRA UPC Advisories,1,2026-07-02T12:00:00Z,4.5,2026-07-02T16:20:39Z,4.3,Vercel app RSS cron */10 * * * *,,,,,,,,UPC #57-26 - Yellow Corporation,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,covington_global_policy_watch,Covington Global Policy Watch,4,2026-07-02T14:19:11Z,4.4,2026-07-02T14:20:52Z,4.4,Vercel app RSS cron */10 * * * *,,,,,,,,"Supreme Court Decision in National Republican Senatorial Committee v. Federal Election Commission Empowers Political Parties, Calls Other Restrictions into Question",RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,fed_enforcement_actions,Federal Reserve Enforcement Actions,1,2026-07-02T15:00:00Z,4.4,2026-07-02T15:00:56Z,4.4,Vercel app RSS cron */10 * * * *,,,,,,,,"Federal Reserve Board issues enforcement action with Small Business Bank and announces termination enforcement actions with BNP Paribas S.A., BNP Paribas USA, Inc., BNP Paribas Se...",RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,bradley_eye_on_enforcement,Bradley Eye on Enforcement,1,2026-07-02T17:00:00Z,4.3,2026-07-02T17:20:09Z,4.3,Vercel app RSS cron */10 * * * *,,,,,,,,Supreme Court Slaughters Humphrey’s Executor,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,flashpoint_blog,Flashpoint,1,2026-07-02T17:35:04Z,4.2,2026-07-03T03:10:08Z,3.8,Vercel app RSS cron */10 * * * *,,,,,,,,"Remus Stealer: A New, Not-So-New Infostealer",RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,krebs_on_security,Krebs on Security,1,2026-07-02T19:27:33Z,4.2,2026-07-02T19:40:50Z,4.2,Vercel app RSS cron */10 * * * *,,,,,,,,"FBI Seizes NetNut Proxy Platform, Popa Botnet",RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,occ_news_releases,OCC News Releases,1,2026-07-02T18:00:00Z,4.2,2026-07-02T18:20:51Z,4.2,Vercel app RSS cron */10 * * * *,,,,,,,,OCC Announces Deputy Comptroller for Supervision System and Analytical Support,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
RSS-only/quiet feed,rss_feed_key_recent_1000,latham_global_financial_regulatory_blog,Latham Global Financial Regulatory Blog,1,2026-07-02T20:49:36Z,4.1,2026-07-02T21:00:54Z,4.1,Vercel app RSS cron */10 * * * *,,,,,,,,Latham Collaborates on the Lexology Panoramic 2026 Equity Derivatives Guide,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
No newer eligible item / quiet source,document_source_kind,bpi_news_item,BPI,16,2026-07-03T00:00:00Z,4.0,2026-07-04T03:10:16Z,2.8,Connector Gap Ingest (6 Hour),2026-07-06T20:30:22Z,0,0,0,0,0,0,"BPInsights: July 3, 2026","Workflow ran but discovered 0 items. Likely source quietness, source markup change, or too-narrow discovery configuration."
No newer eligible item / quiet source,document_source_kind,welivesecurity_article,ESET,83,2026-07-03T00:00:00Z,4.0,2026-07-04T23:42:24Z,2.0,Cyber Source Full Extraction (3 Hour),2026-07-06T22:37:37Z,83,0,0,0,0,0,Cyber readiness for SMBs: Getting the basics right,"Not a run failure: workflow ran and discovered 83 item(s), but all were already existing or outside selection; no newer eligible source item was found."
RSS-only/quiet feed,rss_feed_key_recent_1000,welivesecurity,WeLiveSecurity,1,2026-07-03T12:36:41Z,3.5,2026-07-04T03:40:07Z,2.8,Vercel app RSS cron */10 * * * *,,,,,,,,Cyber readiness for SMBs: Getting the basics right,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
Date/metadata issue,document_source_kind,ici_news_item,ICI,19,2026-07-06T00:00:00Z,1.0,2026-06-30T03:10:24Z,6.8,Connector Gap Ingest (6 Hour),2026-07-06T20:26:15Z,17,13,2,11,0,0,Comment Letters,"Workflow is updating: discovered 17, selected 13, saved 2 new and 11 updates. Staleness is due to missing updated_at metadata rather than lack of ingestion."
Date/metadata issue,document_source_kind,sec_enforcement_litigation,SEC,1271,2026-07-06T00:00:00Z,1.0,,,Policy Extraction (Scheduled),2026-07-06T23:15:59Z,500,1,1,0,0,0,Quest Education L.L.C.; Daniel Blue; David Christopher White; Keitoh Jordan Spears,"Workflow is updating: discovered 500, selected 1, saved 1 new and 0 updates. Staleness is due to missing updated_at metadata rather than lack of ingestion."
RSS-only/quiet feed,rss_feed_key_recent_1000,rss_nytimes_com_services_xml_rss_nyt_dealbook_xml,NYT DealBook,1,2026-07-06T12:42:02Z,0.5,2026-04-29T17:00:25Z,68.3,Vercel app RSS cron */10 * * * *,,,,,,,,Sign Up for DealBook,RSS-only app feed. It has not contributed a newer item to the recent feed sample; this is separate from durable custom-document ingestion and may be source quietness unless health logs show fetch errors.
Fetch/workflow failure,document_source_kind,bloomberg_public_article,Bloomberg,1613,2026-07-06T22:46:56Z,0.0,,,Bloomberg Public Feed Hourly,,,,,,,,Samsung Scores Profit Beat Due to Runaway Demand for AI Memory,"Production has fresh Bloomberg published items, but every recent hourly Bloomberg workflow run on July 5-6 was cancelled. Fix concurrency/runtime so the source is not dependent on stale successful runs."
Date/metadata issue,document_source_kind,doj_usao_press_release,DOJ,1349,2026-07-30T00:00:00Z,-23.0,,,Policy Extraction (Scheduled),2026-07-06T23:13:41Z,25,18,18,0,0,0,Vermilion County Woman Fined and Sentenced to Probation for Voting Twice in Federal Election,"Workflow is updating: discovered 25, selected 18, saved 18 new and 0 updates. Staleness is due to missing updated_at metadata rather than lack of ingestion."
Coverage/scheduling gap,document_source_kind,finra_key_topic,FINRA,60,,,2026-06-29T04:19:48Z,7.8,No active workflow found,,,,,,,,Advertising Regulation,Coverage gap: source exists in production corpus but no active scheduled workflow/runner mapping was found.
No newer eligible item / quiet source,document_source_kind,ft_portfolios_market_commentary,First Trust Portfolios,11,,,2026-07-04T02:54:13Z,2.9,Connector Gap Ingest (6 Hour),2026-07-06T20:22:21Z,20,0,0,0,0,0,click here,"Not a run failure: workflow ran and discovered 20 item(s), but all were already existing or outside selection; no newer eligible source item was found."
No newer eligible item / quiet source,document_source_kind,lsta_news_item,LSTA,1,,,2026-06-30T09:42:00Z,6.6,Connector Gap Ingest (6 Hour),2026-07-06T20:31:48Z,1,0,0,0,0,0,Archives: News & Resources,"Not a run failure: workflow ran and discovered 1 item(s), but all were already existing or outside selection; no newer eligible source item was found."
